Subject,Task,Winner,WinnerPosterior,NULL__UNC_INTRA_ONLY,NULL__UNC_FLEX,RELAY__UNC_INTRA_ONLY,RELAY__UNC_FLEX,DIRECT__UNC_INTRA_ONLY,DIRECT__UNC_FLEX,SENSORY_RELAY__UNC_INTRA_ONLY,SENSORY_RELAY__UNC_FLEX
sub-03,MDOD,SENSORY_RELAY__UNC_FLEX,0.5064346362363298,5.418609965645889e-59,1.8756984796644976e-05,2.718211253632339e-59,0.47199784137367445,2.0014143013894175e-61,0.021548765405199163,4.6170254201182816e-61,0.5064346362363298
sub-03,MDOG,SENSORY_RELAY__UNC_FLEX,0.9998944718029745,4.249464744210713e-35,4.2980556666828255e-33,1.4106029674916073e-18,1.2186809314492665e-12,1.2352332351115819e-21,1.3429990687568047e-21,0.00010552819580677394,0.9998944718029745
sub-03,MGOG,SENSORY_RELAY__UNC_FLEX,1.0,4.047385538819691e-298,1.1046199970908179e-173,3.0927394878726612e-242,5.8863075269757485e-36,3.3097511453634282e-273,3.219469364566778e-121,9.395020851167164e-232,1.0
sub-04,MDOD,RELAY__UNC_FLEX,0.9999978753926559,5.846096517004722e-42,1.8206012478103168e-06,1.0973699176808846e-39,0.9999978753926559,1.5021863510553648e-42,8.752993960537086e-12,2.3980053525683552e-39,3.039973434180204e-07
sub-04,MDOG,RELAY__UNC_FLEX,0.9999999999899547,3.929810667909476e-63,1.0540114462650435e-46,8.384435277177451e-31,0.9999999999899547,1.8366560454101636e-44,1.4001289933742562e-24,1.1986527498959816e-31,1.0045251332368786e-11
sub-04,MGOD,SENSORY_RELAY__UNC_FLEX,0.9950199092292901,1.1800784526867754e-18,2.094873824783373e-13,1.043891267729698e-14,0.004980089175782336,3.4431432834693436e-23,1.5947077440294365e-09,8.534950364921405e-17,0.9950199092292901
sub-04,MGOG,SENSORY_RELAY__UNC_FLEX,1.0,1.1835387654755111e-58,9.668013798144296e-42,3.555205600089182e-42,7.655934495859691e-20,5.610681944605047e-44,2.3800883537382986e-21,1.076040316209648e-31,1.0
sub-06,MDOD,SENSORY_RELAY__UNC_FLEX,0.9999996533125158,2.3669683752571972e-15,4.105059624760105e-08,3.901661313941442e-15,2.570465807125279e-08,7.361041821296506e-16,9.435541707779548e-11,2.798378676310608e-07,0.9999996533125158
sub-06,MDOG,RELAY__UNC_FLEX,0.9992407471850424,2.8228766802816294e-26,2.2090809850947847e-28,0.0007592528149575115,0.9992407471850424,1.2833255097338964e-24,7.047404667008301e-27,1.1651225186986784e-20,2.564725752956356e-22
sub-06,MGOD,SENSORY_RELAY__UNC_FLEX,0.9999999999987192,3.362978947020249e-63,3.451531899723344e-51,5.169564072004577e-44,2.997068633053293e-29,5.897615502957527e-47,8.050202839362752e-32,1.280689878631283e-12,0.9999999999987192
sub-07,MDOD,RELAY__UNC_FLEX,1.0,4.788118903336586e-135,2.5569225540559024e-72,6.346538901822856e-134,1.0,3.110023578221519e-135,5.810927710567372e-72,1.956570471051669e-130,6.7336537303872875e-68
sub-07,MDOG,SENSORY_RELAY__UNC_FLEX,0.9965792103477574,7.211450978741856e-15,2.996763214679237e-12,1.178442689549727e-11,4.1867861054302885e-08,3.4513356586016436e-13,9.657599403708971e-11,0.0034207476726719785,0.9965792103477574
sub-07,MGOD,RELAY__UNC_FLEX,1.0,6.046530451795491e-81,9.468431796841042e-76,1.0834028105866684e-71,1.0,8.696269165227363e-87,4.517831921397578e-81,3.012912197801115e-55,2.3472090141070682e-51
sub-07,MGOG,SENSORY_RELAY__UNC_FLEX,0.999999992591361,4.6137052531405575e-64,1.8829023217901406e-09,6.019883775690654e-65,3.295661363367869e-10,1.0811781206559286e-65,5.196170560986826e-09,8.975543982547706e-58,0.999999992591361
sub-08,MDOD,RELAY__UNC_FLEX,0.762634814501976,1.9871257739793507e-25,3.936852221090433e-08,1.186934090654986e-14,0.762634814501976,1.1421046483003328e-17,2.1368540828609086e-05,6.180146335198455e-19,0.23734377758866124
sub-08,MDOG,RELAY__UNC_FLEX,1.0,2.184252927982073e-142,4.5762982919729264e-116,6.053701410565507e-90,1.0,5.694727966770076e-140,1.1227184781443378e-125,5.667906342971892e-96,2.1748244837524373e-47
sub-08,MGOD,SENSORY_RELAY__UNC_FLEX,0.9999999999996652,1.8317160749611677e-29,2.0709692361978343e-14,3.710094586683234e-30,9.030763855491844e-16,4.653642011697886e-30,8.000206857812673e-15,3.053859478829766e-13,0.9999999999996652
sub-08,MGOG,RELAY__UNC_FLEX,0.646341095008757,4.443227980651847e-26,0.3049709042188771,6.895609373617219e-24,0.646341095008757,3.289542798741041e-27,0.046178708658327794,6.067828579561622e-29,0.002509292114038075
sub-13,MDOD,RELAY__UNC_FLEX,0.9868651563493507,1.3276323994859723e-66,5.718605485618916e-11,1.2714737875444178e-65,0.9868651563493507,2.700200192445654e-69,9.078825022858437e-15,3.709573271990521e-60,0.01313484359345425
sub-13,MDOG,RELAY__UNC_FLEX,0.9722470091018803,2.710460063942639e-23,1.1451876384417019e-21,1.896087429683768e-09,0.9722470091018803,9.86634622847219e-16,1.1278066792710396e-11,6.270668795365455e-07,0.027752361923873772
sub-13,MGOD,SENSORY_RELAY__UNC_FLEX,1.0,2.737273089088343e-66,3.842053666094551e-52,4.8533422607511514e-65,6.736242727581471e-50,6.195468531610301e-70,1.925689652896317e-58,2.5722717544219103e-64,1.0
sub-13,MGOG,NULL__UNC_FLEX,0.6267895201665858,1.45849265181556e-23,0.6267895201665858,1.3507153261553527e-24,0.09276662549101536,5.764090610415079e-27,0.008943871073942448,2.3468186843580035e-25,0.2714999832684563
sub-14,MDOD,SENSORY_RELAY__UNC_FLEX,0.9999999999999656,4.164895668454525e-99,4.4691996409097107e-17,1.4573426986603607e-87,7.2028245171872545e-37,1.1084087853270125e-92,3.440563143390222e-14,8.373986204502663e-86,0.9999999999999656
sub-14,MDOG,RELAY__UNC_FLEX,0.9999999999999971,1.0310776427186187e-70,1.4035508488555225e-56,9.142385216880228e-23,0.9999999999999971,1.7157558457383374e-71,2.5336895958257687e-51,2.4856247030159627e-64,2.820825905050555e-15
sub-14,MGOD,SENSORY_RELAY__UNC_FLEX,1.0,1.708420808876744e-115,6.887141383515029e-88,1.3995466392438037e-70,5.610562106002061e-26,3.096456987459136e-100,1.2735860197416403e-70,4.5213455613088004e-29,1.0
sub-14,MGOG,RELAY__UNC_FLEX,0.9716830594174402,1.6998591877189547e-33,0.025428785717043084,1.4035808143525354e-33,0.9716830594174402,1.0675960886053397e-33,0.0003097404935878429,8.910495330775075e-29,0.0025784143719288486
sub-19,MDOD,RELAY__UNC_FLEX,0.9999999999999976,1.9257965546036495e-260,1.5764571894326765e-99,2.868454776723628e-199,0.9999999999999976,1.1802213383150839e-209,1.0581356974556828e-84,5.32778588319055e-161,2.363157632204049e-15
