Connexion,Moyenne_Generale,Difference_Groupe_Beta,Probabilite_Posterior_Pp,Significatif_95
"B(1,2,2)",-0.733644517399748,-0.7480530489668326,1.0,True
"B(5,6,2)",0.4369493590085122,-0.5773150391443711,0.9754515568152375,True
"A(2,4)",0.1100048033284114,0.3272732502426014,1.0,True
"B(2,4,7)",5.865197886729477e-07,-0.2877436901519052,0.9574085651477989,True
"A(4,4)",-0.3101680489383683,0.24644525107804843,1.0,True
"A(3,3)",6.314079668605154e-07,-0.23689729409795626,1.0,True
"A(1,1)",-1.39556041783163,0.10555195916535645,0.9816483012933298,True
"B(2,6,5)",-6.676091712551064e-07,0.09090104845940233,0.5322998607696138,False
"A(5,5)",-0.23210096654733198,0.07265983178645861,0.6799796883940405,False
"B(6,5,5)",1.0346456230692435e-06,-1.8805259947149152e-06,0.0,False
"A(6,6)",-0.2246614947006278,-1.4954620203257003e-06,0.0,False
"B(1,3,4)",9.343431524820096e-07,-1.344529507314323e-06,0.0,False
"B(1,6,2)",8.555082617410725e-07,1.2893048251172784e-06,0.0,False
"B(2,1,1)",3.312935456448112e-06,-1.1809001686950051e-06,0.0,False
"B(4,3,7)",0.4517829370235851,-1.1526692680655336e-06,0.0,False
"B(6,5,1)",8.454549146553022e-07,-9.582455231315847e-07,0.0,False
"B(1,4,4)",6.064881288521257e-07,-9.330519896440551e-07,0.0,False
"B(1,5,2)",3.1537772108455184e-07,8.085811124084248e-07,0.0,False
"A(1,3)",0.062051061117727,-7.834639575163445e-07,0.0,False
"A(2,6)",0.04551067659331187,7.625951601209774e-07,0.0,False
"B(3,4,4)",-9.773031836946178e-07,-7.349844458312228e-07,0.0,False
"A(2,2)",-1.1203587497461511,-7.335785206102034e-07,0.0,False
"B(1,5,6)",6.85567620915172e-07,-6.958033994847094e-07,0.0,False
"B(2,6,2)",-5.760747415658056e-07,6.910740696121653e-07,0.0,False
"B(2,5,1)",-2.0277798552564423e-07,-6.797672793291685e-07,0.0,False
"B(1,3,8)",-5.95144665479881e-08,5.887370181992246e-07,0.0,False
"B(1,3,3)",-1.549365620867381e-06,5.837002305263789e-07,0.0,False
"A(1,5)",6.35423783963131e-07,-5.762104567232522e-07,0.0,False
"B(2,6,1)",-7.549362185829208e-08,5.143798118427687e-07,0.0,False
"B(1,5,1)",-5.2906029946806364e-08,4.903197716786875e-07,0.0,False
"B(2,4,3)",4.9026989834051895e-08,-2.975385750358993e-07,0.0,False
"B(1,2,4)",-4.5678313790173824e-07,-2.6689384332427613e-07,0.0,False
"B(3,4,8)",4.868855046451692e-07,2.570599260505414e-07,0.0,False
"B(2,3,3)",-1.1751511726474064e-06,2.2314208628927863e-07,0.0,False
"B(2,1,3)",2.1494853592486997e-06,1.1642655862634885e-07,0.0,False
"B(4,3,3)",-6.336974345013064e-07,-3.3875816991767385e-08,0.0,False
"B(2,4,4)",1.9264131879617394e-06,3.0667378104148326e-08,0.0,False
"B(5,6,6)",8.03870812846143e-07,-6.3313754351343496e-09,0.0,False
