Connexion,Moyenne_Generale,Difference_Groupe_Beta,Probabilite_Posterior_Pp,Significatif_95
"B(4,3,3)",0.6165261405015857,-0.5955509213006779,0.6760070737632943,False
"B(2,1,1)",0.3380905906242664,0.4197729588434971,1.0,True
"A(2,2)",-1.3186906469897193,0.37099648768888777,1.0,True
"B(5,6,6)",1.0642820683654846,-0.3400956171642274,0.8211434112687082,False
"A(1,1)",-1.0770481695506597,0.3329755512272568,1.0,True
"B(1,3,8)",0.3315200409488306,0.30917984166706164,1.0,True
"A(1,3)",-0.22459165876427778,-0.2417161898205917,1.0,True
"A(4,4)",-0.2710278542209801,0.1358285223341654,0.9547218580649971,True
"A(1,5)",-1.8764409340013402e-06,-0.12247552502012818,1.0,True
"A(2,4)",-1.6194093319638201e-06,0.07022392190507105,1.0,True
"A(6,6)",-0.168725020195937,0.0665882805032015,0.639288143072494,False
"A(2,6)",1.0189953684341584e-06,-0.06427482435857283,1.0,True
"B(3,4,4)",-1.6241530077375585e-06,-2.1949978141331007e-06,0.0,False
"B(2,5,1)",1.3304547077843234e-06,-1.498153061881385e-06,0.0,False
"A(5,5)",-4.306796605466602e-07,-1.2716415437009787e-06,0.0,False
"B(1,2,2)",1.3509984741723355e-06,-1.2355825404029895e-06,0.0,False
"B(5,6,2)",-2.9877748922572224e-07,-1.2304704073352847e-06,0.0,False
"B(3,4,8)",0.4922455878640837,1.0733390130825765e-06,0.0,False
"A(3,3)",-0.6565168982804648,-1.0129889597518025e-06,0.0,False
"B(6,5,5)",-3.6847965743725217e-07,-1.00836656481474e-06,0.0,False
"B(2,1,3)",-0.4454560134737206,8.808865861292228e-07,0.0,False
"B(1,5,2)",2.8736558280513364e-07,-8.430079433236436e-07,0.0,False
"B(2,6,1)",1.2621074075491372e-06,8.427681898675071e-07,0.0,False
"B(2,4,7)",2.685900968744251e-07,8.129972501648966e-07,0.0,False
"B(6,5,1)",1.036220624357177,-8.10554749304333e-07,0.0,False
"B(1,2,4)",1.9649696788400925e-06,7.921810944642493e-07,0.0,False
"B(1,3,4)",-7.782516138937963e-07,7.529676433358749e-07,0.0,False
"B(2,6,2)",3.2413284334770694e-07,6.948297759803143e-07,0.0,False
"B(1,6,2)",7.759260047227937e-07,6.757418799793333e-07,0.0,False
"B(2,4,4)",-4.1691216318369884e-07,-5.863223386755343e-07,0.0,False
"B(2,3,3)",1.3922111266808164e-06,-4.318598084636515e-07,0.0,False
"B(4,3,7)",-2.379720635801482e-07,1.7483189841972628e-07,0.0,False
"B(2,4,3)",1.540468447431043e-07,-1.559073033766963e-07,0.0,False
"B(1,4,4)",5.364743548337261e-07,1.4469375485794074e-07,0.0,False
"B(1,5,6)",-3.05098653717777e-07,1.3715615864508404e-07,0.0,False
"B(1,3,3)",-4.142787736405841e-07,6.063357815322391e-08,0.0,False
"B(2,6,5)",2.2425238730030573e-07,-1.5926006259973402e-08,0.0,False
"B(1,5,1)",1.207254608313788e-06,8.497458716667751e-09,0.0,False
