Connexion,Moyenne_Generale,Difference_Groupe_Beta,Probabilite_Posterior_Pp,Significatif_95
"B(2,6,1)",9.022627681960393e-07,0.44810704335754054,1.0,True
"A(2,2)",-1.2379259720357587,0.20947194885474987,1.0,True
"B(2,1,3)",-6.443151171090592e-07,-0.1552961482277136,0.7430198900873858,False
"B(1,3,3)",0.09691448574296364,0.13152345387986566,0.5451842429366434,False
"A(1,3)",-0.10160998917682051,-0.1118379006572289,1.0,True
"A(3,3)",0.2121644531094349,0.10320727902720114,0.802636257227092,False
"A(2,4)",-0.02355997954991922,0.07467445517035962,0.9538202457007497,True
"A(5,5)",0.2159950755378169,-0.06405669534096677,0.7170895388830096,False
"A(2,6)",-1.2658139796265577e-06,0.02788844731504654,0.6423105687905818,False
"B(1,4,4)",3.405695751521006e-07,-2.416478624442922e-06,0.0,False
"B(4,3,3)",0.34390805915303285,-2.284403580519234e-06,0.0,False
"B(4,3,7)",-6.940042982893681e-08,-1.586101692681604e-06,0.0,False
"B(1,6,2)",-1.210793871008312e-07,1.486070984436739e-06,0.0,False
"A(4,4)",-0.671433262989764,-1.4279732460481717e-06,0.0,False
"B(2,6,5)",4.688490503459099e-07,-1.3970451222063522e-06,0.0,False
"B(2,6,2)",-1.6851605837716905e-07,-1.3957214153617584e-06,0.0,False
"B(5,6,2)",2.5691697040280568e-08,1.3722348289749515e-06,0.0,False
"A(6,6)",-9.082934308115789e-07,-1.3499658749255869e-06,0.0,False
"B(1,5,6)",-6.689893322684888e-07,1.1513085656130153e-06,0.0,False
"B(3,4,4)",3.280307134213007e-08,1.076370788835945e-06,0.0,False
"B(2,4,7)",1.1151858161541716e-06,-8.567135121178756e-07,0.0,False
"B(6,5,5)",5.853078423881031e-07,-7.245943085548362e-07,0.0,False
"B(1,5,2)",1.5632653015536419e-06,6.273725895869332e-07,0.0,False
"B(1,3,4)",1.977843342701551e-07,-6.069031548310408e-07,0.0,False
"B(1,2,4)",1.1344168786860072e-06,-6.05693445617104e-07,0.0,False
"A(1,1)",-0.9848457475455403,4.7633716507956654e-07,0.0,False
"B(2,5,1)",8.98303769619133e-08,-4.56316550150655e-07,0.0,False
"B(5,6,6)",0.8076469948925535,3.9522682516395053e-07,0.0,False
"B(2,3,3)",9.415010141134645e-07,-3.715883732346258e-07,0.0,False
"B(2,4,3)",2.1190466979898447e-06,3.677975992526084e-07,0.0,False
"B(3,4,8)",-6.495295302550145e-07,2.2533053973950652e-07,0.0,False
"B(2,1,1)",-5.967032693447763e-07,-1.7051315683733622e-07,0.0,False
"B(1,3,8)",-5.726512157034347e-07,-1.4265599874705937e-07,0.0,False
"A(1,5)",-6.759026606464792e-07,-5.0271340999124506e-08,0.0,False
"B(2,4,4)",7.145681052126685e-07,-3.551091361971982e-08,0.0,False
"B(1,5,1)",-4.273804765923003e-07,-3.3112173942822975e-08,0.0,False
"B(6,5,1)",-3.0418862073530633e-07,3.270460643049534e-08,0.0,False
"B(1,2,2)",6.817162712328999e-07,-2.63245486327281e-09,0.0,False
